country,year_min,year_max,n_news,n_images_people,male_total,female_total,people_total,female_ratio
AGO,2022,2024,873,873,4591,1110,5701,0.1947026837396948
ALB,2017,2024,27,42,270,102,372,0.27419354838709675
AND,2009,2024,8274,9140,39523,11758,51281,0.2292857003568573
ARE,2024,2024,1,1,1,0,1,0.0
ARG,2015,2024,3517,13058,64601,12529,77130,0.16244003630234669
ARM,2003,2024,4745,32601,170816,22305,193121,0.11549753781308092
AUS,2015,2024,151,285,1144,476,1620,0.2938271604938272
AUT,2018,2024,354,489,2433,899,3332,0.2698079231692677
AZE,2010,2024,2257,7612,39801,4126,43927,0.09392856329819929
BDI,2016,2024,1537,1750,11940,2375,14315,0.1659098847362906
BEL,2020,2024,4,4,9,3,12,0.25
BEN,2019,2024,1811,7952,51779,13166,64945,0.2027253830163985
BFA,2019,2022,512,4678,31788,6810,38598,0.17643401212498058
BGR,2011,2024,3267,6424,31512,10026,41538,0.2413693485483172
BHR,2009,2024,3851,15617,77195,21360,98555,0.2167317741362691
BHS,2015,2024,818,1377,6961,1965,8926,0.22014340129957427
BIH,2012,2024,3443,7530,42459,9778,52237,0.18718532840706778
BLR,2000,2024,1360,3636,18330,2824,21154,0.13349721092937505
BLZ,2019,2024,562,737,4175,955,5130,0.1861598440545809
BOL,2013,2024,2116,7084,39319,9469,48788,0.19408461096991064
BRA,2012,2019,202,415,2217,278,2495,0.11142284569138276
BRN,2015,2024,95,103,380,63,443,0.14221218961625282
BTN,2008,2024,764,1449,7506,1529,9035,0.16923076923076924
CAN,2015,2022,388,396,1894,443,2337,0.18955926401369277
CHE,2012,2024,504,532,2384,455,2839,0.16026769989432899
CHL,2015,2024,602,1587,7847,2420,10267,0.23570663290152918
CHN,2014,2023,38,40,236,19,255,0.07450980392156863
CIV,2007,2024,709,1252,6989,1306,8295,0.1574442435201929
COD,2019,2024,748,5543,37046,8229,45275,0.1817559359469906
COL,2011,2024,7526,17635,106941,37856,144797,0.26144188070194824
COM,2017,2024,393,393,2281,311,2592,0.11998456790123457
CPV,2018,2024,3697,3719,19905,4465,24370,0.18321707016823963
CUB,2017,2024,6839,10344,56365,11956,68321,0.17499743856208194
CYP,2018,2024,932,1236,5151,1025,6176,0.16596502590673576
CZE,2009,2024,983,2050,9244,1344,10588,0.1269361541367586
DEU,2021,2024,345,557,2793,470,3263,0.14403922770456634
DJI,2023,2024,129,129,837,108,945,0.11428571428571428
DNK,2014,2024,29,84,422,121,543,0.22283609576427257
DOM,2020,2024,11048,16200,103906,31041,134947,0.23002363891009062
DZA,2017,2024,1049,1075,4668,452,5120,0.08828125
ECU,2012,2024,4332,4702,29061,6773,35834,0.1890104370151253
EGY,2014,2024,4146,8776,46895,4130,51025,0.08094071533561979
ESP,2011,2024,2441,4489,27429,6580,34009,0.19347819694786675
EST,2008,2024,945,1121,5536,1389,6925,0.20057761732851986
FIN,2019,2024,2259,2423,5840,2724,8564,0.31807566557683326
FJI,2012,2024,7120,17655,97515,23514,121029,0.1942840145750192
FRA,2000,2024,308,483,1479,360,1839,0.19575856443719414
GAB,2014,2024,149,218,1224,199,1423,0.1398453970484891
GBR,2006,2024,7849,9270,34614,8989,43603,0.20615553975643877
GEO,2013,2024,7661,10396,58764,6933,65697,0.1055299328736472
GHA,2015,2024,296,521,2707,1024,3731,0.27445725006700616
GMB,2021,2024,156,348,1636,466,2102,0.22169362511893434
GNQ,2019,2024,7315,17192,97658,19415,117073,0.1658367001785211
GRC,2010,2024,1668,2478,7286,728,8014,0.09084102820064886
GTM,2018,2024,6452,14889,78549,19169,97718,0.1961665199860824
GUY,2017,2024,210,223,868,184,1052,0.17490494296577946
HRV,2003,2024,2764,3663,18447,3928,22375,0.17555307262569833
HUN,2011,2024,3158,7148,33816,3849,37665,0.10219036240541617
IDN,2014,2024,12147,12191,77263,13625,90888,0.14990977906874395
IND,2011,2024,4749,6852,43610,5516,49126,0.11228270162439441
IRL,2023,2023,1,5,9,3,12,0.25
IRN,2013,2024,9691,63616,424665,24450,449115,0.0544403994522561
IRQ,2019,2024,3522,5968,30121,3147,33268,0.09459540699771553
ISL,2018,2024,299,439,2052,639,2691,0.23745819397993312
ISR,2001,2024,1235,1235,5079,678,5757,0.11776967170401251
