country,year,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg
AGO,2022,338,304,1638,445,2083,0.21363418146903504,0.2214089997204966
AGO,2023,358,300,1531,356,1887,0.1886592474827769,0.21640496975293042
AGO,2024,315,269,1422,309,1731,0.17850953206239167,0.23265297113024622
ALB,2017,14,11,65,15,80,0.1875,0.18469308469308468
ALB,2022,2,2,4,0,4,0.0,0.0
ALB,2024,31,29,201,87,288,0.3020833333333333,0.279381690909689
AND,2009,227,219,994,142,1136,0.125,0.11532559272285299
AND,2010,746,717,3429,525,3954,0.13277693474962063,0.1148391837668947
AND,2011,289,252,1113,206,1319,0.1561789234268385,0.13781851124288097
AND,2012,387,351,1435,311,1746,0.17812142038946163,0.13845217297097376
AND,2013,389,337,1507,332,1839,0.18053289831430125,0.1544867405130517
AND,2014,442,395,1893,405,2298,0.1762402088772846,0.13816223843127476
AND,2015,484,443,1838,443,2281,0.19421306444541866,0.17991331567506186
AND,2016,490,465,2194,646,2840,0.22746478873239437,0.20873667205963264
AND,2017,569,542,2245,682,2927,0.23300307482063545,0.22340656320533908
AND,2018,610,567,2631,789,3420,0.2307017543859649,0.2193515534700267
AND,2019,629,592,2923,964,3887,0.2480061744275791,0.2478082106952076
AND,2020,791,735,2237,685,2922,0.23442847364818617,0.18545677784298947
AND,2021,946,835,2776,960,3736,0.2569593147751606,0.2732375445808976
AND,2022,930,809,3462,1300,4762,0.2729945401091978,0.27786567968925313
AND,2023,968,819,3609,1334,4943,0.2698765931620473,0.2722970263141885
AND,2024,1291,1062,5237,2034,7271,0.2797414385916655,0.3039973335914935
ARE,2024,1,1,1,0,1,0.0,0.0
ARG,2015,284,284,1198,191,1389,0.1375089992800576,0.13838485458203767
ARG,2016,1909,1852,9874,2086,11960,0.17441471571906356,0.1777123677019998
ARG,2017,1910,1841,9231,1612,10843,0.14866734298625842,0.1413832056996536
ARG,2018,1434,1370,6975,1168,8143,0.14343608006877073,0.11305788072207378
ARG,2019,1237,1082,5703,1019,6722,0.15159178815828622,0.12593153283258493
ARG,2020,828,793,3689,594,4283,0.13868783562923184,0.1071653587057617
ARG,2021,1425,1263,5137,921,6058,0.15203037306041597,0.13973994823842903
ARG,2022,1681,1655,7955,1749,9704,0.18023495465787304,0.1811239428788464
ARG,2023,1559,1526,7935,1601,9536,0.16789010067114093,0.15595668979479338
ARG,2024,1671,1392,6904,1588,8492,0.18699952896844088,0.22252481277058772
ARM,2003,2,2,2,0,2,0.0,0.0
ARM,2004,1,1,1,0,1,0.0,0.0
ARM,2005,3,3,7,0,7,0.0,0.0
ARM,2006,1,1,12,0,12,0.0,0.0
ARM,2007,98,97,441,39,480,0.08125,0.07691938645546892
ARM,2008,232,232,944,73,1017,0.07177974434611603,0.05145207402750506
ARM,2009,285,284,1374,100,1474,0.06784260515603799,0.06150213939548632
ARM,2010,123,123,713,47,760,0.06184210526315789,0.04214873083237502
ARM,2014,20,20,154,27,181,0.14917127071823205,0.10256493506493507
ARM,2015,181,171,1003,169,1172,0.14419795221843004,0.09483291162314574
ARM,2016,135,133,737,71,808,0.08787128712871287,0.07205330723464291
ARM,2017,133,132,513,47,560,0.08392857142857142,0.08197972725484687
ARM,2018,5086,5027,27328,3287,30615,0.10736567042299526,0.09669651215023696
ARM,2019,5200,5120,28342,3588,31930,0.1123708111493893,0.10608322143549445
ARM,2020,2998,2906,13916,1724,15640,0.110230179028133,0.10205534555813896
ARM,2021,3301,3233,15054,1608,16662,0.09650702196615052,0.0876119366693544
ARM,2022,4212,4118,21063,2427,23490,0.1033205619412516,0.09395327067758716
ARM,2023,5550,5353,29823,4393,34216,0.12839022679448212,0.1272201860695394
ARM,2024,5783,5645,29389,4705,34094,0.13800082125887253,0.13404795085018686
AUS,2015,1,1,3,0,3,0.0,0.0
AUS,2019,2,1,10,4,14,0.2857142857142857,0.2857142857142857
AUS,2020,11,8,23,6,29,0.20689655172413793,0.08712121212121213
AUS,2021,9,7,19,4,23,0.17391304347826086,0.35000000000000003
AUS,2022,6,3,2,1,3,0.3333333333333333,0.3333333333333333
AUS,2023,3,2,3,1,4,0.25,0.25
AUS,2024,8,7,21,10,31,0.3225806451612903,0.3952380952380952
AUT,2018,119,116,699,187,886,0.2110609480812641,0.22394450238710675
AUT,2019,135,129,720,268,988,0.27125506072874495,0.27667397822380496
AUT,2020,16,16,59,22,81,0.2716049382716049,0.2857589048378522
AUT,2021,42,39,141,41,182,0.22527472527472528,0.2797646797646798
AUT,2022,29,28,116,80,196,0.40816326530612246,0.44066386307927663
AUT,2023,69,65,255,163,418,0.38995215311004783,0.36641089949187117
AUT,2024,105,96,443,138,581,0.23752151462994836,0.21376178265569712
AZE,2010,136,136,750,30,780,0.038461538461538464,0.04192491524238929
AZE,2011,160,160,645,43,688,0.0625,0.05070320304695305
AZE,2012,248,248,1164,69,1233,0.05596107055961071,0.04442769513957947
AZE,2013,257,257,1430,73,1503,0.04856952761144378,0.03429285864670934
AZE,2014,410,410,2571,137,2708,0.050590841949778434,0.05443999549562702
AZE,2015,395,395,2660,409,3069,0.13326816552623005,0.09612352257184772
AZE,2016,428,428,1871,205,2076,0.098747591522158,0.07179583046848455
AZE,2017,433,433,2185,137,2322,0.05900086132644272,0.05062560201980898
AZE,2018,556,554,2903,280,3183,0.08796732642161482,0.08103133521230799
AZE,2019,839,834,4245,390,4635,0.08414239482200647,0.07098285473566672
AZE,2020,612,611,2302,284,2586,0.10982211910286156,0.09818812289087633
AZE,2021,699,688,3400,394,3794,0.10384818133895625,0.10317635632865986
AZE,2022,1158,1150,6604,1047,7651,0.1368448568814534,0.12686694239513
AZE,2023,585,582,3230,293,3523,0.08316775475447062,0.06847187923920307
AZE,2024,745,726,3841,335,4176,0.08022030651340996,0.06768530477639938
BDI,2015,1,0,0,0,0,,
BDI,2016,6,5,18,7,25,0.28,0.2777777777777778
BDI,2017,375,371,2819,425,3244,0.13101109741060418,0.11367587145922413
BDI,2018,196,191,1598,300,1898,0.15806111696522657,0.1428371571349617
BDI,2019,74,74,555,129,684,0.18859649122807018,0.16844793928772256
BDI,2020,136,135,1003,214,1217,0.17584223500410848,0.17001643758781704
BDI,2021,242,242,1480,306,1786,0.1713325867861142,0.17735748710645086
BDI,2022,266,266,1460,345,1805,0.19113573407202217,0.17665233326605218
BDI,2023,248,247,1514,356,1870,0.19037433155080213,0.1688084620068739
BDI,2024,221,219,1493,293,1786,0.16405375139977604,0.13056396792878408
BEL,2020,4,1,1,1,2,0.5,0.5
BEL,2021,19,2,8,1,9,0.1111111111111111,0.07142857142857142
BEL,2022,11,0,0,0,0,,
BEL,2023,7,0,0,0,0,,
BEL,2024,3,1,0,1,1,1.0,1.0
BEN,2019,195,170,1061,262,1323,0.1980347694633409,0.18832558354048065
BEN,2020,711,530,2757,651,3408,0.19102112676056338,0.21978731233088838
BEN,2021,1524,1369,8105,1782,9887,0.1802366744209568,0.1939448052469254
BEN,2022,1728,1608,10608,2412,13020,0.18525345622119815,0.18166881997879683
BEN,2023,2192,2068,14592,3634,18226,0.1993854932513991,0.20162235561401795
BEN,2024,2406,2207,14656,4425,19081,0.2319060845867617,0.2248639146741885
BFA,2019,1088,1070,7972,1852,9824,0.18851791530944625,0.17506309989427676
BFA,2020,1146,1130,7810,1560,9370,0.1664887940234792,0.15450499926846806
BFA,2021,1594,1566,9686,1896,11582,0.1637022966672423,0.15074426650983574
BFA,2022,958,912,6320,1502,7822,0.19202250063922272,0.18588096361421116
BGR,2011,1,1,0,2,2,1.0,1.0
BGR,2012,115,81,392,61,453,0.1346578366445916,0.16283051473109952
BGR,2013,427,348,1946,320,2266,0.1412180052956752,0.11544154252671317
