country,year,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg,women_parl_pct,women_parl_ratio
AGO,2022,338,304,1638,445,2083,0.213634181469035,0.2214089997204966,33.6363636363636,0.336363636363636
AGO,2023,358,300,1531,356,1887,0.1886592474827769,0.2164049697529304,33.6363636363636,0.336363636363636
AGO,2024,315,269,1422,309,1731,0.1785095320623916,0.2326529711302462,39.5454545454545,0.39545454545454495
ALB,2017,14,11,65,15,80,0.1875,0.1846930846930846,27.8571428571429,0.278571428571429
ALB,2022,2,2,4,0,4,0.0,0.0,35.7142857142857,0.357142857142857
ALB,2024,31,29,201,87,288,0.3020833333333333,0.279381690909689,35.7142857142857,0.357142857142857
AND,2009,227,219,994,142,1136,0.125,0.1153255927228529,35.7142857142857,0.357142857142857
AND,2010,746,717,3429,525,3954,0.1327769347496206,0.1148391837668947,35.7142857142857,0.357142857142857
AND,2011,289,252,1113,206,1319,0.1561789234268385,0.1378185112428809,50.0,0.5
AND,2012,387,351,1435,311,1746,0.1781214203894616,0.1384521729709737,50.0,0.5
AND,2013,389,337,1507,332,1839,0.1805328983143012,0.1544867405130517,50.0,0.5
AND,2014,442,395,1893,405,2298,0.1762402088772846,0.1381622384312747,50.0,0.5
AND,2015,484,443,1838,443,2281,0.1942130644454186,0.1799133156750618,39.2857142857143,0.392857142857143
AND,2016,490,465,2194,646,2840,0.2274647887323943,0.2087366720596326,32.1428571428571,0.321428571428571
AND,2017,569,542,2245,682,2927,0.2330030748206354,0.223406563205339,32.1428571428571,0.321428571428571
AND,2018,610,567,2631,789,3420,0.2307017543859649,0.2193515534700267,32.1428571428571,0.321428571428571
AND,2019,629,592,2923,964,3887,0.2480061744275791,0.2478082106952076,46.4285714285714,0.464285714285714
AND,2020,791,735,2237,685,2922,0.2344284736481861,0.1854567778429894,46.4285714285714,0.464285714285714
AND,2021,946,835,2776,960,3736,0.2569593147751606,0.2732375445808976,46.4285714285714,0.464285714285714
AND,2022,930,809,3462,1300,4762,0.2729945401091978,0.2778656796892531,46.4285714285714,0.464285714285714
AND,2023,968,819,3609,1334,4943,0.2698765931620473,0.2722970263141885,50.0,0.5
AND,2024,1291,1062,5237,2034,7271,0.2797414385916655,0.3039973335914935,50.0,0.5
ARE,2024,1,1,1,0,1,0.0,0.0,50.0,0.5
ARG,2015,284,284,1198,191,1389,0.1375089992800576,0.1383848545820376,36.5758754863813,0.365758754863813
ARG,2016,1909,1852,9874,2086,11960,0.1744147157190635,0.1777123677019998,35.7976653696498,0.357976653696498
ARG,2017,1910,1841,9231,1612,10843,0.1486673429862584,0.1413832056996536,38.1322957198444,0.381322957198444
ARG,2018,1434,1370,6975,1168,8143,0.1434360800687707,0.1130578807220737,38.9105058365759,0.389105058365759
ARG,2019,1237,1082,5703,1019,6722,0.1515917881582862,0.1259315328325849,40.1574803149606,0.40157480314960603
ARG,2020,828,793,3689,594,4283,0.1386878356292318,0.1071653587057617,40.8560311284047,0.408560311284047
ARG,2021,1425,1263,5137,921,6058,0.1520303730604159,0.139739948238429,44.7470817120623,0.447470817120623
ARG,2022,1681,1655,7955,1749,9704,0.180234954657873,0.1811239428788464,44.7470817120623,0.447470817120623
ARG,2023,1559,1526,7935,1601,9536,0.1678901006711409,0.1559566897947933,43.1906614785992,0.431906614785992
ARG,2024,1671,1392,6904,1588,8492,0.1869995289684408,0.2225248127705877,42.4124513618677,0.42412451361867703
ARM,2003,2,2,2,0,2,0.0,0.0,4.58015267175572,0.0458015267175572
ARM,2004,1,1,1,0,1,0.0,0.0,5.34351145038168,0.0534351145038168
ARM,2005,3,3,7,0,7,0.0,0.0,5.34351145038168,0.0534351145038168
ARM,2006,1,1,12,0,12,0.0,0.0,5.34351145038168,0.0534351145038168
ARM,2007,98,97,441,39,480,0.08125,0.0769193864554689,9.16030534351145,0.09160305343511449
ARM,2008,232,232,944,73,1017,0.071779744346116,0.051452074027505,8.3969465648855,0.083969465648855
ARM,2009,285,284,1374,100,1474,0.0678426051560379,0.0615021393954863,9.16030534351145,0.09160305343511449
ARM,2010,123,123,713,47,760,0.0618421052631578,0.042148730832375,9.16030534351145,0.09160305343511449
ARM,2014,20,20,154,27,181,0.149171270718232,0.102564935064935,10.6870229007634,0.106870229007634
ARM,2015,181,171,1003,169,1172,0.14419795221843,0.0948329116231457,10.6870229007634,0.106870229007634
ARM,2016,135,133,737,71,808,0.0878712871287128,0.0720533072346429,10.6870229007634,0.106870229007634
ARM,2017,133,132,513,47,560,0.0839285714285714,0.0819797272548468,18.0952380952381,0.18095238095238098
ARM,2018,5086,5027,27328,3287,30615,0.1073656704229952,0.0966965121502369,18.0952380952381,0.18095238095238098
ARM,2019,5200,5120,28342,3588,31930,0.1123708111493893,0.1060832214354944,23.4848484848485,0.23484848484848497
ARM,2020,2998,2906,13916,1724,15640,0.110230179028133,0.1020553455581389,23.4848484848485,0.23484848484848497
ARM,2021,3301,3233,15054,1608,16662,0.0965070219661505,0.0876119366693544,33.6448598130841,0.33644859813084105
ARM,2022,4212,4118,21063,2427,23490,0.1033205619412516,0.0939532706775871,35.5140186915888,0.355140186915888
ARM,2023,5550,5353,29823,4393,34216,0.1283902267944821,0.1272201860695394,35.5140186915888,0.355140186915888
ARM,2024,5783,5645,29389,4705,34094,0.1380008212588725,0.1340479508501868,36.4485981308411,0.364485981308411
AUS,2015,1,1,3,0,3,0.0,0.0,26.6666666666667,0.266666666666667
AUS,2019,2,1,10,4,14,0.2857142857142857,0.2857142857142857,30.4635761589404,0.304635761589404
AUS,2020,11,8,23,6,29,0.2068965517241379,0.0871212121212121,30.4635761589404,0.304635761589404
AUS,2021,9,7,19,4,23,0.1739130434782608,0.35,31.1258278145695,0.311258278145695
AUS,2022,6,3,2,1,3,0.3333333333333333,0.3333333333333333,38.4105960264901,0.38410596026490096
AUS,2023,3,2,3,1,4,0.25,0.25,38.4105960264901,0.38410596026490096
AUS,2024,8,7,21,10,31,0.3225806451612903,0.3952380952380952,38.0,0.38
AUT,2018,119,116,699,187,886,0.2110609480812641,0.2239445023871067,34.4262295081967,0.344262295081967
AUT,2019,135,129,720,268,988,0.2712550607287449,0.2766739782238049,39.344262295082,0.39344262295081994
AUT,2020,16,16,59,22,81,0.2716049382716049,0.2857589048378522,39.344262295082,0.39344262295081994
AUT,2021,42,39,141,41,182,0.2252747252747252,0.2797646797646798,40.4371584699454,0.404371584699454
AUT,2022,29,28,116,80,196,0.4081632653061224,0.4406638630792766,40.9836065573771,0.409836065573771
AUT,2023,69,65,255,163,418,0.3899521531100478,0.3664108994918711,40.9836065573771,0.409836065573771
AUT,2024,105,96,443,138,581,0.2375215146299483,0.2137617826556971,36.0655737704918,0.36065573770491804
AZE,2010,136,136,750,30,780,0.0384615384615384,0.0419249152423892,16.0,0.16
AZE,2011,160,160,645,43,688,0.0625,0.050703203046953,16.0,0.16
AZE,2012,248,248,1164,69,1233,0.0559610705596107,0.0444276951395794,16.0,0.16
AZE,2013,257,257,1430,73,1503,0.0485695276114437,0.0342928586467093,15.5737704918033,0.155737704918033
AZE,2014,410,410,2571,137,2708,0.0505908419497784,0.054439995495627,15.5737704918033,0.155737704918033
AZE,2015,395,395,2660,409,3069,0.13326816552623,0.0961235225718477,16.9354838709677,0.16935483870967702
AZE,2016,428,428,1871,205,2076,0.098747591522158,0.0717958304684845,16.8,0.168
AZE,2017,433,433,2185,137,2322,0.0590008613264427,0.0506256020198089,16.8,0.168
AZE,2018,556,554,2903,280,3183,0.0879673264216148,0.0810313352123079,16.8,0.168
AZE,2019,839,834,4245,390,4635,0.0841423948220064,0.0709828547356667,16.8067226890756,0.16806722689075598
AZE,2020,612,611,2302,284,2586,0.1098221191028615,0.0981881228908763,17.3553719008264,0.173553719008264
AZE,2021,699,688,3400,394,3794,0.1038481813389562,0.1031763563286598,18.1818181818182,0.18181818181818202
