country,year,n_news,n_images_people,male_total,female_total,people_total,female_ratio
AGO,2022,304,304,1638,445,2083,0.21363418146903504
AGO,2023,300,300,1531,356,1887,0.1886592474827769
AGO,2024,269,269,1422,309,1731,0.17850953206239167
ALB,2017,11,11,65,15,80,0.1875
ALB,2022,1,2,4,0,4,0.0
ALB,2024,15,29,201,87,288,0.3020833333333333
AND,2009,162,219,994,142,1136,0.125
AND,2010,483,717,3429,525,3954,0.13277693474962063
AND,2011,236,252,1113,206,1319,0.1561789234268385
AND,2012,351,351,1435,311,1746,0.17812142038946163
AND,2013,337,337,1507,332,1839,0.18053289831430125
AND,2014,395,395,1893,405,2298,0.1762402088772846
AND,2015,382,443,1838,443,2281,0.19421306444541866
AND,2016,465,465,2194,646,2840,0.22746478873239437
AND,2017,542,542,2245,682,2927,0.23300307482063545
AND,2018,567,567,2631,789,3420,0.2307017543859649
AND,2019,571,592,2923,964,3887,0.2480061744275791
AND,2020,723,735,2237,685,2922,0.23442847364818617
AND,2021,808,835,2776,960,3736,0.2569593147751606
AND,2022,779,809,3462,1300,4762,0.2729945401091978
AND,2023,775,819,3609,1334,4943,0.2698765931620473
AND,2024,698,1062,5237,2034,7271,0.2797414385916655
ARE,2024,1,1,1,0,1,0.0
ARG,2015,76,284,1198,191,1389,0.1375089992800576
ARG,2016,441,1852,9874,2086,11960,0.17441471571906356
ARG,2017,487,1841,9231,1612,10843,0.14866734298625842
ARG,2018,389,1370,6975,1168,8143,0.14343608006877073
ARG,2019,313,1082,5703,1019,6722,0.15159178815828622
ARG,2020,298,793,3689,594,4283,0.13868783562923184
ARG,2021,453,1263,5137,921,6058,0.15203037306041597
ARG,2022,425,1655,7955,1749,9704,0.18023495465787304
ARG,2023,342,1526,7935,1601,9536,0.16789010067114093
ARG,2024,293,1392,6904,1588,8492,0.18699952896844088
ARM,2003,2,2,2,0,2,0.0
ARM,2004,1,1,1,0,1,0.0
ARM,2005,3,3,7,0,7,0.0
ARM,2006,1,1,12,0,12,0.0
ARM,2007,60,97,441,39,480,0.08125
ARM,2008,118,232,944,73,1017,0.07177974434611603
ARM,2009,131,284,1374,100,1474,0.06784260515603799
ARM,2010,69,123,713,47,760,0.06184210526315789
ARM,2014,20,20,154,27,181,0.14917127071823205
ARM,2015,171,171,1003,169,1172,0.14419795221843004
ARM,2016,133,133,737,71,808,0.08787128712871287
ARM,2017,132,132,513,47,560,0.08392857142857142
ARM,2018,500,5027,27328,3287,30615,0.10736567042299526
ARM,2019,624,5120,28342,3588,31930,0.1123708111493893
ARM,2020,580,2906,13916,1724,15640,0.110230179028133
ARM,2021,542,3233,15054,1608,16662,0.09650702196615052
ARM,2022,533,4118,21063,2427,23490,0.1033205619412516
ARM,2023,610,5353,29823,4393,34216,0.12839022679448212
ARM,2024,515,5645,29389,4705,34094,0.13800082125887253
AUS,2015,1,1,3,0,3,0.0
AUS,2018,1,1,0,2,2,1.0
AUS,2019,5,7,42,14,56,0.25
AUS,2020,41,81,322,111,433,0.25635103926096997
AUS,2021,47,83,352,163,515,0.31650485436893205
AUS,2022,37,68,255,116,371,0.31266846361185985
AUS,2023,12,22,74,25,99,0.25252525252525254
AUS,2024,7,22,96,45,141,0.3191489361702128
AUT,2018,69,116,699,187,886,0.2110609480812641
AUT,2019,81,129,720,268,988,0.27125506072874495
AUT,2020,14,16,59,22,81,0.2716049382716049
AUT,2021,33,39,141,41,182,0.22527472527472528
AUT,2022,18,28,116,80,196,0.40816326530612246
AUT,2023,52,65,255,163,418,0.38995215311004783
AUT,2024,87,96,443,138,581,0.23752151462994836
AZE,2010,61,136,750,30,780,0.038461538461538464
AZE,2011,63,160,645,43,688,0.0625
AZE,2012,84,248,1164,69,1233,0.05596107055961071
AZE,2013,70,257,1430,73,1503,0.04856952761144378
AZE,2014,95,410,2571,137,2708,0.050590841949778434
