country,year,n_news,n_images_people,male_total,female_total,people_total,female_ratio,v2x_polyarchy
AGO,2022,304,304,1638,445,2083,0.213634181469035,0.327
AGO,2023,300,300,1531,356,1887,0.1886592474827769,0.33
AGO,2024,269,269,1422,309,1731,0.1785095320623916,0.34
ALB,2017,11,11,65,15,80,0.1875,0.537
ALB,2022,1,2,4,0,4,0.0,0.52
ALB,2024,15,29,201,87,288,0.3020833333333333,0.507
AND,2009,162,219,994,142,1136,0.125,
AND,2010,483,717,3429,525,3954,0.1327769347496206,
AND,2011,236,252,1113,206,1319,0.1561789234268385,
AND,2012,351,351,1435,311,1746,0.1781214203894616,
AND,2013,337,337,1507,332,1839,0.1805328983143012,
AND,2014,395,395,1893,405,2298,0.1762402088772846,
AND,2015,382,443,1838,443,2281,0.1942130644454186,
AND,2016,465,465,2194,646,2840,0.2274647887323943,
AND,2017,542,542,2245,682,2927,0.2330030748206354,
AND,2018,567,567,2631,789,3420,0.2307017543859649,
AND,2019,571,592,2923,964,3887,0.2480061744275791,
AND,2020,723,735,2237,685,2922,0.2344284736481861,
AND,2021,808,835,2776,960,3736,0.2569593147751606,
AND,2022,779,809,3462,1300,4762,0.2729945401091978,
AND,2023,775,819,3609,1334,4943,0.2698765931620473,
AND,2024,698,1062,5237,2034,7271,0.2797414385916655,
ARE,2024,1,1,1,0,1,0.0,0.103
ARG,2015,76,284,1198,191,1389,0.1375089992800576,0.776
ARG,2016,441,1852,9874,2086,11960,0.1744147157190635,0.753
ARG,2017,487,1841,9231,1612,10843,0.1486673429862584,0.754
ARG,2018,389,1370,6975,1168,8143,0.1434360800687707,0.783
ARG,2019,313,1082,5703,1019,6722,0.1515917881582862,0.788
ARG,2020,298,793,3689,594,4283,0.1386878356292318,0.805
ARG,2021,453,1263,5137,921,6058,0.1520303730604159,0.797
ARG,2022,425,1655,7955,1749,9704,0.180234954657873,0.832
ARG,2023,342,1526,7935,1601,9536,0.1678901006711409,0.838
ARG,2024,293,1392,6904,1588,8492,0.1869995289684408,0.712
ARM,2003,2,2,2,0,2,0.0,0.352
ARM,2004,1,1,1,0,1,0.0,0.343
ARM,2005,3,3,7,0,7,0.0,0.344
ARM,2006,1,1,12,0,12,0.0,0.339
ARM,2007,60,97,441,39,480,0.08125,0.347
ARM,2008,118,232,944,73,1017,0.071779744346116,0.316
ARM,2009,131,284,1374,100,1474,0.0678426051560379,0.318
ARM,2010,69,123,713,47,760,0.0618421052631578,0.33
ARM,2014,20,20,154,27,181,0.149171270718232,0.343
ARM,2015,171,171,1003,169,1172,0.14419795221843,0.345
ARM,2016,133,133,737,71,808,0.0878712871287128,0.349
ARM,2017,132,132,513,47,560,0.0839285714285714,0.382
ARM,2018,500,5027,27328,3287,30615,0.1073656704229952,0.522
ARM,2019,624,5120,28342,3588,31930,0.1123708111493893,0.793
ARM,2020,580,2906,13916,1724,15640,0.110230179028133,0.779
ARM,2021,542,3233,15054,1608,16662,0.0965070219661505,0.726
ARM,2022,533,4118,21063,2427,23490,0.1033205619412516,0.65
ARM,2023,610,5353,29823,4393,34216,0.1283902267944821,0.635
ARM,2024,515,5645,29389,4705,34094,0.1380008212588725,0.623
AUS,2015,1,1,3,0,3,0.0,0.872
AUS,2018,1,1,0,2,2,1.0,0.858
AUS,2019,5,7,42,14,56,0.25,0.825
AUS,2020,41,81,322,111,433,0.2563510392609699,0.843
AUS,2021,47,83,352,163,515,0.316504854368932,0.832
AUS,2022,37,68,255,116,371,0.3126684636118598,0.851
AUS,2023,12,22,74,25,99,0.2525252525252525,0.855
AUS,2024,7,22,96,45,141,0.3191489361702128,0.857
AUT,2018,69,116,699,187,886,0.2110609480812641,0.857
AUT,2019,81,129,720,268,988,0.2712550607287449,0.863
AUT,2020,14,16,59,22,81,0.2716049382716049,0.86
AUT,2021,33,39,141,41,182,0.2252747252747252,0.852
AUT,2022,18,28,116,80,196,0.4081632653061224,0.838
AUT,2023,52,65,255,163,418,0.3899521531100478,0.846
AUT,2024,87,96,443,138,581,0.2375215146299483,0.839
AZE,2010,61,136,750,30,780,0.0384615384615384,0.211
AZE,2011,63,160,645,43,688,0.0625,0.209
AZE,2012,84,248,1164,69,1233,0.0559610705596107,0.207
AZE,2013,70,257,1430,73,1503,0.0485695276114437,0.202
AZE,2014,95,410,2571,137,2708,0.0505908419497784,0.195
AZE,2015,85,395,2660,409,3069,0.13326816552623,0.194
AZE,2016,95,428,1871,205,2076,0.098747591522158,0.199
AZE,2017,105,433,2185,137,2322,0.0590008613264427,0.199
AZE,2018,167,554,2903,280,3183,0.0879673264216148,0.192
AZE,2019,312,834,4245,390,4635,0.0841423948220064,0.193
AZE,2020,277,611,2302,284,2586,0.1098221191028615,0.193
AZE,2021,231,688,3400,394,3794,0.1038481813389562,0.194
AZE,2022,316,1150,6604,1047,7651,0.1368448568814534,0.185
AZE,2023,140,582,3230,293,3523,0.0831677547544706,0.187
AZE,2024,156,726,3841,335,4176,0.0802203065134099,0.175
BDI,2016,5,5,18,7,25,0.28,0.165
BDI,2017,209,371,2819,425,3244,0.1310110974106041,0.157
BDI,2018,151,191,1598,300,1898,0.1580611169652265,0.157
BDI,2019,74,74,555,129,684,0.1885964912280701,0.158
BDI,2020,135,135,1003,214,1217,0.1758422350041084,0.168
BDI,2021,242,242,1480,306,1786,0.1713325867861142,0.181
BDI,2022,266,266,1460,345,1805,0.1911357340720221,0.19
BDI,2023,247,247,1514,356,1870,0.1903743315508021,0.187
BDI,2024,208,219,1493,293,1786,0.164053751399776,0.175
BEL,2020,1,1,1,1,2,0.5,0.897
BEL,2021,2,2,8,1,9,0.1111111111111111,0.898
BEL,2024,1,1,0,1,1,1.0,0.886
BEN,2019,151,170,1061,262,1323,0.1980347694633409,0.456
BEN,2020,306,530,2757,651,3408,0.1910211267605633,0.411
BEN,2021,343,1369,8105,1782,9887,0.1802366744209568,0.395
BEN,2022,351,1608,10608,2412,13020,0.1852534562211981,0.435
BEN,2023,331,2068,14592,3634,18226,0.1993854932513991,0.493
BEN,2024,329,2207,14656,4425,19081,0.2319060845867617,0.501
BFA,2019,133,1070,7972,1852,9824,0.1885179153094462,0.657
BFA,2020,129,1130,7810,1560,9370,0.1664887940234792,0.663
BFA,2021,168,1566,9686,1896,11582,0.1637022966672423,0.628
BFA,2022,82,912,6320,1502,7822,0.1920225006392227,0.274
BGR,2011,1,1,0,2,2,1.0,0.672
BGR,2012,71,81,392,61,453,0.1346578366445916,0.663
BGR,2013,218,348,1946,320,2266,0.1412180052956752,0.657
BGR,2014,263,486,2688,385,3073,0.1252847380410023,0.677
BGR,2015,137,293,1430,215,1645,0.1306990881458966,0.669
BGR,2016,55,111,442,54,496,0.1088709677419354,0.669
BGR,2017,253,555,2851,915,3766,0.242963356346256,0.624
BGR,2018,486,1431,7468,2567,10035,0.2558046836073742,0.614
BGR,2019,205,359,1869,568,2437,0.2330734509643003,0.614
