country,year,n_news,n_images_people,male_total,female_total,people_total,female_ratio,v2x_polyarchy,v2x_libdem,v2x_egaldem,v2fsuffrage,v2lgqugen,v2lgfemleg,v2x_civlib,v2x_clpol,v2x_clphy
AGO,2022,304,304,1638,445,2083,0.213634181469035,0.327,0.154,0.132,100.0,1.0,33.64,0.602,0.573,0.652
AGO,2023,300,300,1531,356,1887,0.1886592474827769,0.33,0.157,0.14,100.0,1.0,33.64,0.598,0.559,0.652
AGO,2024,269,269,1422,309,1731,0.1785095320623916,0.34,0.164,0.138,100.0,1.0,39.6,0.624,0.593,0.699
ALB,2017,11,11,65,15,80,0.1875,0.537,0.44,0.384,100.0,2.0,27.86,0.889,0.836,0.958
ALB,2022,1,2,4,0,4,0.0,0.52,0.433,0.39,100.0,2.0,35.7,0.886,0.806,0.934
ALB,2024,15,29,201,87,288,0.3020833333333333,0.507,0.396,0.367,100.0,2.0,35.7,0.876,0.783,0.95
AND,2009,162,219,994,142,1136,0.125,,,,,,,,,
AND,2010,483,717,3429,525,3954,0.1327769347496206,,,,,,,,,
AND,2011,236,252,1113,206,1319,0.1561789234268385,,,,,,,,,
AND,2012,351,351,1435,311,1746,0.1781214203894616,,,,,,,,,
AND,2013,337,337,1507,332,1839,0.1805328983143012,,,,,,,,,
AND,2014,395,395,1893,405,2298,0.1762402088772846,,,,,,,,,
AND,2015,382,443,1838,443,2281,0.1942130644454186,,,,,,,,,
AND,2016,465,465,2194,646,2840,0.2274647887323943,,,,,,,,,
AND,2017,542,542,2245,682,2927,0.2330030748206354,,,,,,,,,
AND,2018,567,567,2631,789,3420,0.2307017543859649,,,,,,,,,
AND,2019,571,592,2923,964,3887,0.2480061744275791,,,,,,,,,
AND,2020,723,735,2237,685,2922,0.2344284736481861,,,,,,,,,
AND,2021,808,835,2776,960,3736,0.2569593147751606,,,,,,,,,
AND,2022,779,809,3462,1300,4762,0.2729945401091978,,,,,,,,,
AND,2023,775,819,3609,1334,4943,0.2698765931620473,,,,,,,,,
AND,2024,698,1062,5237,2034,7271,0.2797414385916655,,,,,,,,,
ARE,2024,1,1,1,0,1,0.0,0.103,0.078,0.125,36.0,4.0,50.0,0.351,0.118,0.643
ARG,2015,76,284,1198,191,1389,0.1375089992800576,0.776,0.601,0.613,100.0,3.0,35.8,0.879,0.883,0.839
ARG,2016,441,1852,9874,2086,11960,0.1744147157190635,0.753,0.616,0.598,100.0,3.0,38.91,0.892,0.921,0.843
ARG,2017,487,1841,9231,1612,10843,0.1486673429862584,0.754,0.612,0.584,100.0,3.0,38.91,0.875,0.914,0.794
ARG,2018,389,1370,6975,1168,8143,0.1434360800687707,0.783,0.637,0.621,100.0,3.0,38.82,0.891,0.91,0.842
ARG,2019,313,1082,5703,1019,6722,0.1515917881582862,0.788,0.626,0.623,100.0,3.0,40.86,0.874,0.909,0.811
ARG,2020,298,793,3689,594,4283,0.1386878356292318,0.805,0.644,0.626,100.0,3.0,42.41,0.886,0.914,0.9
