country,mode_year,missing_year_count,imputed_news_neighbor_count,unmatched_images_count,imputed_by_numeric_nearest_count,imputed_by_mode_year_count
AGO,2023.0,0,0,0,0,0
ALB,2020.0,1,1,0,0,0
ALB,2020.0,0,0,0,0,0
AND,2010.0,0,0,0,0,0
ARE,2018.0,0,0,0,0,0
ARG,2017.0,0,0,0,0,0
ARG,2022.0,0,0,0,0,0
ARM,2019.0,0,0,0,0,0
ARM,2023.0,0,0,0,0,0
AUS,2021.0,173,173,0,0,0
AUT,2020.0,0,0,0,0,0
AUT,2022.0,0,0,0,0,0
AZE,2024.0,0,0,0,0,0
AZE,2022.0,0,0,0,0,0
BDI,2021.0,0,0,0,0,0
BEL,2021.0,0,0,0,0,0
BEL,2020.0,0,0,0,0,0
BEN,2020.0,0,0,0,0,0
BFA,2021.0,0,0,0,0,0
BFA,2021.0,3,3,0,0,0
BGR,2021.0,0,0,0,0,0
BGR,2018.0,0,0,0,0,0
BHR,2024.0,0,0,0,0,0
BHS,2016.0,0,0,0,0,0
BIH,2024.0,0,0,0,0,0
BIH,2023.0,0,0,0,0,0
BLR,2003.0,0,0,0,0,0
BLR,2024.0,0,0,0,0,0
BLZ,2021.0,0,0,0,0,0
BOL,2021.0,0,0,0,0,0
BRA,2016.0,0,0,0,0,0
BRN,2016.0,0,0,0,0,0
BTN,2021.0,0,0,0,0,0
CAN,2020.0,0,0,0,0,0
CAN,2018.0,0,0,0,0,0
CHE,2014.0,0,0,0,0,0
CHL,2023.0,0,0,0,0,0
CHL,2019.0,7,7,0,0,0
CHN,2015.0,0,0,0,0,0
CHN,2016.0,0,0,0,0,0
CIV,2013.0,1,1,0,0,0
COD,2024.0,0,0,0,0,0
COD,2024.0,0,0,0,0,0
COL,2014.0,15,15,0,0,0
COM,2017.0,0,0,0,0,0
CPV,2023.0,0,0,0,0,0
CRI,2019.0,218,218,0,0,0
CUB,2022.0,0,0,0,0,0
CUB,2021.0,0,0,0,0,0
CYP,2022.0,1,1,0,0,0
CYP,2023.0,0,0,0,0,0
CZE,2024.0,0,0,0,0,0
CZE,2009.0,11,11,0,0,0
DEU,2022.0,0,0,0,0,0
DJI,2023.0,0,0,0,0,0
DNK,2013.0,0,0,0,0,0
DNK,2018.0,0,0,0,0,0
DOM,2023.0,0,0,0,0,0
DOM,2024.0,0,0,0,0,0
DZA,2019.0,0,0,0,0,0
DZA,2024.0,0,0,0,0,0
ECU,2014.0,0,0,0,0,0
ECU,2021.0,0,0,0,0,0
EGY,2021.0,0,0,0,0,0
ERI,2016.0,0,0,0,0,0
ESP,2011.0,74,74,0,0,0
ESP,2017.0,45,45,0,0,0
EST,2020.0,3,3,0,0,0
EST,2010.0,0,0,0,0,0
FIN,2021.0,0,0,0,0,0
FJI,2013.0,128,128,0,0,0
FRA,2018.0,0,0,0,0,0
FRA,2020.0,9,9,0,0,0
GAB,2023.0,0,0,0,0,0
GBR,2011.0,7,7,0,0,0
GEO,2016.0,1431,1431,0,0,0
GEO,2016.0,40,40,0,0,0
GEO,2022.0,0,0,0,0,0
GHA,2018.0,1,1,0,0,0
GMB,2022.0,0,0,0,0,0
GNQ,2019.0,0,0,0,0,0
GNQ,2020.0,10,10,0,0,0
GRC,2022.0,0,0,0,0,0
GRC,2013.0,0,0,0,0,0
GRC,2022.0,0,0,0,0,0
GTM,2022.0,0,0,0,0,0
GUY,2023.0,0,0,0,0,0
HRV,2010.0,18,18,0,0,0
HRV,2015.0,0,0,0,0,0
HUN,2022.0,16,16,0,0,0
HUN,2013.0,1,1,0,0,0
HUN,2017.0,0,0,0,0,0
IDN,2021.0,0,0,0,0,0
IDN,2023.0,0,0,0,0,0
IND,2023.0,0,0,0,0,0
IND,2024.0,0,0,0,0,0
IRL,2023.0,1,1,0,0,0
IRL,2024.0,1,1,0,0,0
IRN,2022.0,21,21,0,0,0
IRN,2022.0,0,0,0,0,0
IRQ,2020.0,0,0,0,0,0
ISL,2020.0,0,0,0,0,0
ISR,2022.0,1,1,0,0,0
ITA,2023.0,0,0,0,0,0
ITA,2020.0,0,0,0,0,0
JAM,2017.0,0,0,0,0,0
JAM,2018.0,0,0,0,0,0
JOR,2023.0,15,15,0,0,0
JPN,2007.0,0,0,0,0,0
JPN,2024.0,32,32,0,0,0
JPN,2014.0,0,0,0,0,0
JPN,2023.0,0,0,0,0,0
KAZ,2017.0,0,0,0,0,0
KAZ,2022.0,0,0,0,0,0
KEN,2023.0,23,23,0,0,0
KEN,2023.0,0,0,0,0,0
KGZ,2021.0,0,0,0,0,0
KGZ,2021.0,0,0,0,0,0
KHM,2024.0,0,0,0,0,0
KHM,2022.0,0,0,0,0,0
KNA,2023.0,0,0,0,0,0
KOR,2020.0,0,0,0,0,0
KOR,2018.0,0,0,0,0,0
KWT,2024.0,0,0,0,0,0
LBR,2016.0,0,0,0,0,0
LKA,2021.0,0,0,0,0,0
LSO,2023.0,0,0,0,0,0
LTU,2021.0,0,0,0,0,0
LUX,2024.0,0,0,0,0,0
LVA,2024.0,0,0,0,0,0
LVA,2016.0,1,1,0,0,0
MAR,2020.0,0,0,0,0,0
MDA,2018.0,5,5,0,0,0
MDA,2021.0,0,0,0,0,0
MDG,,673,0,686,0,0
MDG,2024.0,0,0,0,0,0
MDV,2024.0,2,2,0,0,0
MDV,2021.0,0,0,0,0,0
MEX,2021.0,0,0,0,0,0
MEX,2019.0,0,0,0,0,0
MKD,2022.0,0,0,0,0,0
MNE,2019.0,0,0,0,0,0
MNG,2024.0,0,0,0,0,0
MOZ,2024.0,0,0,0,0,0
MRT,2022.0,55,55,0,0,0
MRT,2023.0,0,0,0,0,0
MYS,2024.0,0,0,0,0,0
NER,2024.0,39,39,0,0,0
NGA,2023.0,0,0,0,0,0
NLD,2022.0,0,0,0,0,0
NLD,2017.0,0,0,0,0,0
NLD,2016.0,0,0,0,0,0
NOR,2022.0,0,0,0,0,0
NPL,2017.0,0,0,0,0,0
NZL,2016.0,300,300,0,0,0
NZL,2024.0,0,0,0,0,0
OMN,2023.0,0,0,0,0,0
PAK,2021.0,0,0,0,0,0
PAN,2022.0,0,0,0,0,0
PER,2024.0,0,0,0,0,0
PHL,2014.0,3436,3436,0,0,0
PHL,2024.0,22,22,0,0,0
POL,2022.0,0,0,0,0,0
POL,2022.0,5,5,0,0,0
PRK,2024.0,0,0,0,0,0
PRT,2022.0,0,0,0,0,0
PRY,2024.0,0,0,0,0,0
PSE,2019.0,0,0,0,0,0
QAT,2024.0,0,0,0,0,0
ROU,2022.0,0,0,0,0,0
RUS,2009.0,644,644,0,0,0
RUS,2017.0,0,0,0,0,0
RWA,2019.0,0,0,0,0,0
RWA,2022.0,0,0,0,0,0
SAU,2024.0,0,0,0,0,0
SGP,2018.0,1,1,0,0,0
SLE,2024.0,0,0,0,0,0
SLV,2023.0,0,0,0,0,0
SLV,2023.0,0,0,0,0,0
SOM,2024.0,0,0,0,0,0
SRB,2015.0,1,1,0,0,0
SRB,2022.0,0,0,0,0,0
SUR,2022.0,0,0,0,0,0
SVK,2013.0,66,66,0,0,0
SVK,2011.0,0,0,0,0,0
SVN,2021.0,0,0,0,0,0
SWE,2024.0,0,0,0,0,0
SYC,2013.0,0,0,0,0,0
SYC,2017.0,9,9,0,0,0
SYR,2022.0,0,0,0,0,0
SYR,2021.0,0,0,0,0,0
TGO,2022.0,0,0,0,0,0
TJK,2023.0,0,0,0,0,0
TJK,2024.0,0,0,0,0,0
TKM,2019.0,0,0,0,0,0
TLS,2024.0,305,305,0,0,0
TTO,2022.0,0,0,0,0,0
TTO,2020.0,0,0,0,0,0
TUR,2017.0,0,0,0,0,0
TWN,2003.0,0,0,0,0,0
TWN,2024.0,0,0,0,0,0
TZA,2018.0,0,0,0,0,0
TZA,2024.0,0,0,0,0,0
UGA,2022.0,1,1,0,0,0
UKR,2023.0,0,0,0,0,0
UKR,2024.0,0,0,0,0,0
URY,2013.0,0,0,0,0,0
URY,2014.0,0,0,0,0,0
USA,2022.0,0,0,0,0,0
USA,2007.0,0,0,0,0,0
USA,2024.0,0,0,0,0,0
USA,2018.0,0,0,0,0,0
USA,2011.0,0,0,0,0,0
USA,2011.0,0,0,0,0,0
USA,2022.0,0,0,0,0,0
USA,2020.0,1,1,0,0,0
USA,2004.0,1059,1059,0,0,0
UZB,2023.0,0,0,0,0,0
UZB,2019.0,0,0,0,0,0
VCT,2024.0,0,0,0,0,0
VEN,2023.0,0,0,0,0,0
VNM,2022.0,0,0,0,0,0
WSM,2022.0,7,7,0,0,0
XKX,2024.0,0,0,0,0,0
YEM,2021.0,0,0,0,0,0
ZAF,2013.0,0,0,0,0,0
