country,mode_year,missing_year_count,imputed_news_neighbor_count,unmatched_images_count,imputed_by_numeric_nearest_count,imputed_by_mode_year_count,cy_rows_post2000,cy_years_post2000,people_total_post2000,images_people_post2000,has_any_people_post2000,vdem_match_rate_post2000,has_any_vdem_post2000
AGO,2023.0,0,0,0,0,0,3.0,3.0,5701.0,873.0,True,1.0,True
ALB,2020.0,1,1,0,0,0,3.0,3.0,372.0,42.0,True,1.0,True
ALB,2020.0,0,0,0,0,0,3.0,3.0,372.0,42.0,True,1.0,True
AND,2010.0,0,0,0,0,0,16.0,16.0,51281.0,9140.0,True,0.0,False
ARE,2018.0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,1.0,True
ARG,2017.0,0,0,0,0,0,10.0,10.0,77130.0,13058.0,True,1.0,True
ARG,2022.0,0,0,0,0,0,10.0,10.0,77130.0,13058.0,True,1.0,True
ARM,2019.0,0,0,0,0,0,19.0,19.0,193121.0,32601.0,True,1.0,True
ARM,2023.0,0,0,0,0,0,19.0,19.0,193121.0,32601.0,True,1.0,True
AUS,2021.0,173,173,0,0,0,8.0,8.0,1620.0,285.0,True,1.0,True
AUT,2020.0,0,0,0,0,0,7.0,7.0,3332.0,489.0,True,1.0,True
AUT,2022.0,0,0,0,0,0,7.0,7.0,3332.0,489.0,True,1.0,True
AZE,2024.0,0,0,0,0,0,15.0,15.0,43927.0,7612.0,True,1.0,True
AZE,2022.0,0,0,0,0,0,15.0,15.0,43927.0,7612.0,True,1.0,True
BDI,2021.0,0,0,0,0,0,9.0,9.0,14315.0,1750.0,True,1.0,True
BEL,2021.0,0,0,0,0,0,3.0,3.0,12.0,4.0,True,1.0,True
BEL,2020.0,0,0,0,0,0,3.0,3.0,12.0,4.0,True,1.0,True
BEN,2020.0,0,0,0,0,0,6.0,6.0,64945.0,7952.0,True,1.0,True
BFA,2021.0,0,0,0,0,0,4.0,4.0,38598.0,4678.0,True,1.0,True
BFA,2021.0,3,3,0,0,0,4.0,4.0,38598.0,4678.0,True,1.0,True
BGR,2021.0,0,0,0,0,0,14.0,14.0,41538.0,6424.0,True,1.0,True
BGR,2018.0,0,0,0,0,0,14.0,14.0,41538.0,6424.0,True,1.0,True
BHR,2024.0,0,0,0,0,0,16.0,16.0,98555.0,15617.0,True,1.0,True
BHS,2016.0,0,0,0,0,0,10.0,10.0,8926.0,1377.0,True,0.0,False
BIH,2024.0,0,0,0,0,0,10.0,10.0,52237.0,7530.0,True,1.0,True
BIH,2023.0,0,0,0,0,0,10.0,10.0,52237.0,7530.0,True,1.0,True
BLR,2003.0,0,0,0,0,0,15.0,15.0,21154.0,3636.0,True,1.0,True
BLR,2024.0,0,0,0,0,0,15.0,15.0,21154.0,3636.0,True,1.0,True
BLZ,2021.0,0,0,0,0,0,6.0,6.0,5130.0,737.0,True,0.0,False
BOL,2021.0,0,0,0,0,0,12.0,12.0,48788.0,7084.0,True,1.0,True
BRA,2016.0,0,0,0,0,0,7.0,7.0,2495.0,415.0,True,1.0,True
BRN,2016.0,0,0,0,0,0,10.0,10.0,443.0,103.0,True,0.0,False
BTN,2021.0,0,0,0,0,0,17.0,17.0,9035.0,1449.0,True,1.0,True
CAN,2020.0,0,0,0,0,0,8.0,8.0,2337.0,396.0,True,1.0,True
CAN,2018.0,0,0,0,0,0,8.0,8.0,2337.0,396.0,True,1.0,True
CHE,2014.0,0,0,0,0,0,13.0,13.0,2839.0,532.0,True,1.0,True
CHL,2023.0,0,0,0,0,0,9.0,9.0,10267.0,1587.0,True,1.0,True
CHL,2019.0,7,7,0,0,0,9.0,9.0,10267.0,1587.0,True,1.0,True
CHN,2015.0,0,0,0,0,0,9.0,9.0,255.0,40.0,True,1.0,True
CHN,2016.0,0,0,0,0,0,9.0,9.0,255.0,40.0,True,1.0,True
CIV,2013.0,1,1,0,0,0,18.0,18.0,8295.0,1252.0,True,1.0,True
COD,2024.0,0,0,0,0,0,6.0,6.0,45275.0,5543.0,True,1.0,True
COD,2024.0,0,0,0,0,0,6.0,6.0,45275.0,5543.0,True,1.0,True
COL,2014.0,15,15,0,0,0,14.0,14.0,144797.0,17635.0,True,1.0,True
COM,2017.0,0,0,0,0,0,8.0,8.0,2592.0,393.0,True,1.0,True
CPV,2023.0,0,0,0,0,0,7.0,7.0,24370.0,3719.0,True,1.0,True
CRI,2019.0,218,218,0,0,0,,,,,,,
CUB,2022.0,0,0,0,0,0,8.0,8.0,68321.0,10344.0,True,1.0,True
CUB,2021.0,0,0,0,0,0,8.0,8.0,68321.0,10344.0,True,1.0,True
CYP,2022.0,1,1,0,0,0,7.0,7.0,6176.0,1236.0,True,1.0,True
CYP,2023.0,0,0,0,0,0,7.0,7.0,6176.0,1236.0,True,1.0,True
CZE,2024.0,0,0,0,0,0,16.0,16.0,10588.0,2050.0,True,1.0,True
CZE,2009.0,11,11,0,0,0,16.0,16.0,10588.0,2050.0,True,1.0,True
DEU,2022.0,0,0,0,0,0,4.0,4.0,3263.0,557.0,True,1.0,True
DJI,2023.0,0,0,0,0,0,2.0,2.0,945.0,129.0,True,1.0,True
DNK,2013.0,0,0,0,0,0,7.0,7.0,543.0,84.0,True,1.0,True
DNK,2018.0,0,0,0,0,0,7.0,7.0,543.0,84.0,True,1.0,True
DOM,2023.0,0,0,0,0,0,5.0,5.0,134947.0,16200.0,True,1.0,True
DOM,2024.0,0,0,0,0,0,5.0,5.0,134947.0,16200.0,True,1.0,True
DZA,2019.0,0,0,0,0,0,8.0,8.0,5120.0,1075.0,True,1.0,True
DZA,2024.0,0,0,0,0,0,8.0,8.0,5120.0,1075.0,True,1.0,True
ECU,2014.0,0,0,0,0,0,13.0,13.0,35834.0,4702.0,True,1.0,True
ECU,2021.0,0,0,0,0,0,13.0,13.0,35834.0,4702.0,True,1.0,True
EGY,2021.0,0,0,0,0,0,11.0,11.0,51025.0,8776.0,True,1.0,True
ERI,2016.0,0,0,0,0,0,,,,,,,
ESP,2011.0,74,74,0,0,0,14.0,14.0,34009.0,4489.0,True,1.0,True
ESP,2017.0,45,45,0,0,0,14.0,14.0,34009.0,4489.0,True,1.0,True
EST,2020.0,3,3,0,0,0,14.0,14.0,6925.0,1121.0,True,1.0,True
EST,2010.0,0,0,0,0,0,14.0,14.0,6925.0,1121.0,True,1.0,True
FIN,2021.0,0,0,0,0,0,6.0,6.0,8564.0,2423.0,True,1.0,True
FJI,2013.0,128,128,0,0,0,13.0,13.0,121029.0,17655.0,True,1.0,True
FRA,2018.0,0,0,0,0,0,10.0,10.0,1839.0,483.0,True,1.0,True
