country,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg
CPV,4146,3719,19905,4465,24370,0.18321707016823963,0.1832592653725122
MNE,4657,4139,24393,6503,30896,0.21048032107716208,0.2121890218091556
MEX,2060,1875,8448,1647,10095,0.16315007429420506,0.13968992499989405
GHA,530,521,2707,1024,3731,0.27445725006700616,0.3183321199251275
GUY,265,223,868,184,1052,0.17490494296577946,0.1630534925436979
MRT,389,326,1513,224,1737,0.128957973517559,0.12123481745008269
CHE,606,532,2384,455,2839,0.16026769989432899,0.1526456054562796
SLV,1,1,4,1,5,0.2,0.2
MDG,468,396,2726,645,3371,0.19133788193414417,0.19362006750990646
BLZ,802,737,4175,955,5130,0.1861598440545809,0.18907931141508189
ARM,2298,2055,8057,913,8970,0.10178372352285396,0.10496661126296238
CAN,10,2,16,7,23,0.30434782608695654,0.19444444444444445
SYC,1,1,1,1,2,0.5,0.5
AUS,320,285,1144,476,1620,0.2938271604938272,0.3487838853220962
JAM,116,91,313,125,438,0.2853881278538813,0.2709504510529858
BGR,5737,5133,25380,8887,34267,0.259345726208889,0.2916035907203268
TWN,515,497,2862,638,3500,0.18228571428571427,0.186472487671633
POL,3696,3631,22640,4402,27042,0.1627838177649582,0.13265722665337723
CIV,1267,1252,6989,1306,8295,0.1574442435201929,0.14274179664281575
BIH,3171,3120,16122,3541,19663,0.18008442251945278,0.19088878455407435
BFA,2393,2339,15894,3405,19299,0.17643401212498058,0.16406522578683377
KHM,11135,10951,82998,15570,98568,0.15796201607012417,0.15538006023096265
MOZ,55,45,252,27,279,0.0967741935483871,0.09299707917354975
PRT,665,601,3125,619,3744,0.16533119658119658,0.17136008908890749
USA,40,30,90,18,108,0.16666666666666666,0.11383597883597883
MNG,1769,1512,6978,2178,9156,0.23787680209698558,0.2190436304349159
KOR,1634,1528,6689,1548,8237,0.18793249969649145,0.243620170887252
SGP,3365,3305,13470,2517,15987,0.1574404203415275,0.14662730903201845
IDN,448,406,2724,654,3378,0.1936056838365897,0.19524998114224854
FIN,3856,2423,5840,2724,8564,0.31807566557683326,0.36836328306156807
DNK,499,5,20,7,27,0.25925925925925924,0.16666666666666666
FRA,142,89,452,94,546,0.17216117216117216,0.12549136257001425
URY,5044,3913,21068,5370,26438,0.2031167259248052,0.19075535215393108
CYP,305,283,1016,270,1286,0.2099533437013997,0.19767457290212162
DOM,18078,15411,99966,30005,129971,0.23085919166583316,0.22228525475241834
SVK,2698,2524,13045,2168,15213,0.14250969565503188,0.1209886751283498
PSE,221,176,586,97,683,0.14202049780380674,0.12506467648513103
ROU,8841,8095,42542,5547,48089,0.1153486244255443,0.10542427509754837
EST,1261,1109,5471,1382,6853,0.20166350503429156,0.210822446961509
RUS,48904,48272,261361,27211,288572,0.09429535783097459,0.07570202681740064
DZA,960,944,4233,424,4657,0.09104573759931286,0.079547602982484
USA,119,97,296,70,366,0.1912568306010929,0.2513955832254801
USA,290,278,638,353,991,0.3562058526740666,0.44937384258427426
HRV,3262,3149,15324,3403,18727,0.18171623858599883,0.17927755806242807
COL,20073,17635,106941,37856,144797,0.26144188070194824,0.2997140316417056
UZB,2057,1931,8558,629,9187,0.0684663110917601,0.053541921021390396
KWT,291,289,1441,294,1735,0.16945244956772335,0.1217112587854638
NOR,478,418,1745,408,2153,0.18950301904319555,0.19091752634079726
AND,10188,9140,39523,11758,51281,0.2292857003568573,0.21899324312235455
JPN,2107,2040,9787,1174,10961,0.10710701578323145,0.10452826625819933
BRA,754,415,2217,278,2495,0.11142284569138276,0.1445291000704457
EGY,10001,8776,46895,4130,51025,0.08094071533561979,0.06907604758588323
MDA,27560,25893,115484,29976,145460,0.20607727210229618,0.22089778315235917
ESP,4518,4328,26187,6175,32362,0.19081020950497496,0.15390944231231624
KEN,35,34,239,70,309,0.22653721682847897,0.18716965464370308
NZL,64,52,192,72,264,0.2727272727272727,0.3165370897658347
CHL,1603,1456,7155,2209,9364,0.2359034600598035,0.2493891624592214
BHR,15744,15617,77195,21360,98555,0.2167317741362691,0.21477767255106195
ITA,301,213,1052,175,1227,0.1426242868785656,0.1460339359158746
BRN,103,103,380,63,443,0.14221218961625282,0.13652663764441997
RWA,376,313,2322,323,2645,0.12211720226843101,0.10633099011900762
LVA,682,500,2127,479,2606,0.18380660015349193,0.2341985098291129
LBR,1740,1545,3600,736,4336,0.16974169741697417,0.27151123428401075
NGA,371,364,1494,323,1817,0.17776554760594387,0.1545547671006918
UKR,2783,2262,8781,1250,10031,0.12461369753763334,0.1206907135350399
SRB,13150,12830,58729,9474,68203,0.1389088456519508,0.11013209771035412
SLE,722,711,4743,998,5741,0.1738373105730709,0.1580329127454289
KAZ,200,195,994,220,1214,0.1812191103789127,0.1422971870519682
SWE,129,93,455,122,577,0.21143847487001732,0.24427378098855176
TUR,112073,111256,730935,116680,847615,0.13765683712534582,0.12303913398469521
TZA,1901,1885,11892,2586,14478,0.17861583091587235,0.19871630292872874
