country,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg,v2x_polyarchy,v2x_gender
CPV,4146,3719,19905,4465,24370,0.1832170701682396,0.1832592653725122,0.78112,0.7924800000000001
MNE,4657,4139,24393,6503,30896,0.210480321077162,0.2121890218091556,0.4899199999999999,0.8118947368421052
MEX,2060,1875,8448,1647,10095,0.163150074294205,0.139689924999894,0.64616,0.73
GHA,530,521,2707,1024,3731,0.2744572500670061,0.3183321199251275,0.72724,0.7992400000000001
GUY,265,223,868,184,1052,0.1749049429657794,0.1630534925436979,0.58,0.84904
MRT,389,326,1513,224,1737,0.128957973517559,0.1212348174500826,0.37912,0.58972
CHE,606,532,2384,455,2839,0.1602676998943289,0.1526456054562796,0.89664,0.93468
SLV,1,1,4,1,5,0.2,0.2,0.55776,0.68864
MDG,468,396,2726,645,3371,0.1913378819341441,0.1936200675099064,0.4320799999999999,0.71344
ARM,2298,2055,8057,913,8970,0.1017837235228539,0.1049666112629623,0.4443999999999999,0.76044
CAN,10,2,16,7,23,0.3043478260869565,0.1944444444444444,0.83372,0.8996000000000001
SYC,1,1,1,1,2,0.5,0.5,0.52732,0.8372799999999999
AUS,320,285,1144,476,1620,0.2938271604938272,0.3487838853220962,0.87064,0.92568
JAM,116,91,313,125,438,0.2853881278538813,0.2709504510529858,0.77708,0.89164
BGR,5737,5133,25380,8887,34267,0.259345726208889,0.2916035907203268,0.67608,0.9132
TWN,515,497,2862,638,3500,0.1822857142857142,0.186472487671633,0.8049599999999999,0.88152
POL,3696,3631,22640,4402,27042,0.1627838177649582,0.1326572266533772,0.80156,0.8977200000000001
CIV,1267,1252,6989,1306,8295,0.1574442435201929,0.1427417966428157,0.45516,0.66268
BIH,3171,3120,16122,3541,19663,0.1800844225194527,0.1908887845540743,0.57324,0.8022
BFA,2393,2339,15894,3405,19299,0.1764340121249805,0.1640652257868337,0.52484,0.7284
KHM,11135,10951,82998,15570,98568,0.1579620160701241,0.1553800602309626,0.27524,0.56784
MOZ,55,45,252,27,279,0.0967741935483871,0.0929970791735497,0.4174799999999999,0.7585200000000001
PRT,665,601,3125,619,3744,0.1653311965811965,0.1713600890889074,0.88176,0.92112
USA,40,30,90,18,108,0.1666666666666666,0.1138359788359788,0.86212,0.90492
MNG,1769,1512,6978,2178,9156,0.2378768020969855,0.2190436304349159,0.65268,0.83576
KOR,1634,1528,6689,1548,8237,0.1879324996964914,0.243620170887252,0.80104,0.8747199999999999
SGP,3365,3305,13470,2517,15987,0.1574404203415275,0.1466273090320184,0.39804,0.7906400000000001
IDN,448,406,2724,654,3378,0.1936056838365897,0.1952499811422485,0.6458799999999999,0.70848
FIN,3856,2423,5840,2724,8564,0.3180756655768332,0.368363283061568,0.87564,0.94488
DNK,499,5,20,7,27,0.2592592592592592,0.1666666666666666,0.91824,0.95792
FRA,142,89,452,94,546,0.1721611721611721,0.1254913625700142,0.8790399999999999,0.92768
URY,5044,3913,21068,5370,26438,0.2031167259248052,0.190755352153931,0.8839199999999999,0.8764
CYP,305,283,1016,270,1286,0.2099533437013997,0.1976745729021216,0.82416,0.8436400000000001
DOM,18078,15411,99966,30005,129971,0.2308591916658331,0.2222852547524183,0.6252,0.79636
SVK,2698,2524,13045,2168,15213,0.1425096956550318,0.1209886751283498,0.8370799999999999,0.87576
PSE,221,176,586,97,683,0.1420204978038067,0.125064676485131,0.3203199999999999,0.58752
ROU,8841,8095,42542,5547,48089,0.1153486244255443,0.1054242750975483,0.6644,0.8432
EST,1261,1109,5471,1382,6853,0.2016635050342915,0.210822446961509,0.88444,0.92992
RUS,48904,48272,261361,27211,288572,0.0942953578309745,0.0757020268174006,0.28832,0.65944
DZA,960,944,4233,424,4657,0.0910457375993128,0.079547602982484,0.31148,0.65652
USA,119,97,296,70,366,0.1912568306010929,0.2513955832254801,0.86212,0.90492
USA,290,278,638,353,991,0.3562058526740666,0.4493738425842742,0.86212,0.90492
HRV,3262,3149,15324,3403,18727,0.1817162385859988,0.179277558062428,0.7800400000000001,0.90764
COL,20073,17635,106941,37856,144797,0.2614418807019482,0.2997140316417056,0.6287600000000001,0.76268
UZB,2057,1931,8558,629,9187,0.0684663110917601,0.0535419210213903,0.17484,0.5222399999999999
KWT,291,289,1441,294,1735,0.1694524495677233,0.1217112587854638,0.30956,0.38536
NOR,478,418,1745,408,2153,0.1895030190431955,0.1909175263407972,0.892,0.94016
JPN,2107,2040,9787,1174,10961,0.1071070157832314,0.1045282662581993,0.8394799999999999,0.7974000000000001
BRA,754,415,2217,278,2495,0.1114228456913827,0.1445291000704457,0.82244,0.79904
EGY,10001,8776,46895,4130,51025,0.0809407153356197,0.0690760475858832,0.19704,0.39852
MDA,27560,25893,115484,29976,145460,0.2060772721022961,0.2208977831523591,0.56524,0.85724
ESP,4518,4328,26187,6175,32362,0.1908102095049749,0.1539094423123162,0.8709600000000001,0.94176
KEN,35,34,239,70,309,0.2265372168284789,0.187169654643703,0.4856,0.68136
NZL,64,52,192,72,264,0.2727272727272727,0.3165370897658347,0.8835599999999999,0.94036
CHL,1603,1456,7155,2209,9364,0.2359034600598035,0.2493891624592214,0.87428,0.85836
BHR,15744,15617,77195,21360,98555,0.2167317741362691,0.2147776725510619,0.15836,0.4518
ITA,301,213,1052,175,1227,0.1426242868785656,0.1460339359158746,0.8529599999999999,0.91236
RWA,376,313,2322,323,2645,0.122117202268431,0.1063309901190076,0.19996,0.80096
LVA,682,500,2127,479,2606,0.1838066001534919,0.2341985098291129,0.8222,0.93916
LBR,1740,1545,3600,736,4336,0.1697416974169741,0.2715112342840107,0.5526800000000001,0.782
NGA,371,364,1494,323,1817,0.1777655476059438,0.1545547671006918,0.4823199999999999,0.7164
UKR,2783,2262,8781,1250,10031,0.1246136975376333,0.1206907135350399,0.46548,0.83072
SRB,13150,12830,58729,9474,68203,0.1389088456519508,0.1101320977103541,0.4986,0.83776
SLE,722,711,4743,998,5741,0.1738373105730709,0.1580329127454289,0.49488,0.71288
KAZ,200,195,994,220,1214,0.1812191103789127,0.1422971870519682,0.24568,0.76824
SWE,129,93,455,122,577,0.2114384748700173,0.2442737809885517,0.90896,0.94396
TUR,112073,111256,730935,116680,847615,0.1376568371253458,0.1230391339846952,0.4652799999999999,0.6630400000000001
TZA,1901,1885,11892,2586,14478,0.1786158309158723,0.1987163029287287,0.4383599999999999,0.80804
JOR,174,126,564,119,683,0.1742313323572474,0.2155690822661959,0.23948,0.59516
